"Xu hướng","Lượng tìm kiếm","Đã bắt đầu","Đã kết thúc","Bảng chi tiết về xu hướng","Đường liên kết khám phá"
"kevin federline","200+","lúc 16:00:00 UTC+7 13 tháng 9, 2024",,"kevin federline","https://trends.google.com.vn/trends/explore?q=kevin%20federline&geo=US&hl=vi"
"big e 2024","200+","lúc 16:30:00 UTC+7 13 tháng 9, 2024",,"big e 2024,the big e","https://trends.google.com.vn/trends/explore?q=big%20e%202024&geo=US&hl=vi"
"michael j fox","200+","lúc 15:50:00 UTC+7 13 tháng 9, 2024",,"michael j fox","https://trends.google.com.vn/trends/explore?q=michael%20j%20fox&geo=US&hl=vi"
"charlotte weather","100+","lúc 16:20:00 UTC+7 13 tháng 9, 2024",,"charlotte weather","https://trends.google.com.vn/trends/explore?q=charlotte%20weather&geo=US&hl=vi"
"wral","200+","lúc 17:10:00 UTC+7 13 tháng 9, 2024",,"wral","https://trends.google.com.vn/trends/explore?q=wral&geo=US&hl=vi"
"tax brackets 2024","100+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"tax brackets 2024","https://trends.google.com.vn/trends/explore?q=tax%20brackets%202024&geo=US&hl=vi"
"cleveland guardians standings","100+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"cleveland guardians standings","https://trends.google.com.vn/trends/explore?q=cleveland%20guardians%20standings&geo=US&hl=vi"
"who won thursday night football","100+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"who won thursday night football","https://trends.google.com.vn/trends/explore?q=who%20won%20thursday%20night%20football&geo=US&hl=vi"
"bge","100+","lúc 17:10:00 UTC+7 13 tháng 9, 2024",,"bge","https://trends.google.com.vn/trends/explore?q=bge&geo=US&hl=vi"
"irish open","100+","lúc 15:50:00 UTC+7 13 tháng 9, 2024",,"irish open","https://trends.google.com.vn/trends/explore?q=irish%20open&geo=US&hl=vi"
"shannon sharpe girlfriend","200+","lúc 14:50:00 UTC+7 13 tháng 9, 2024",,"shannon sharpe girlfriend,shannon sharpe audio leak","https://trends.google.com.vn/trends/explore?q=shannon%20sharpe%20girlfriend&geo=US&hl=vi"
"ivanka trump","100+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"ivanka trump","https://trends.google.com.vn/trends/explore?q=ivanka%20trump&geo=US&hl=vi"
"louisville weather","100+","lúc 16:20:00 UTC+7 13 tháng 9, 2024",,"louisville weather","https://trends.google.com.vn/trends/explore?q=louisville%20weather&geo=US&hl=vi"
"boeing starliner spacecraft","200+","lúc 14:30:00 UTC+7 13 tháng 9, 2024",,"boeing starliner spacecraft","https://trends.google.com.vn/trends/explore?q=boeing%20starliner%20spacecraft&geo=US&hl=vi"
"national public data breach","100+","lúc 17:10:00 UTC+7 13 tháng 9, 2024",,"national public data breach","https://trends.google.com.vn/trends/explore?q=national%20public%20data%20breach&geo=US&hl=vi"
"myrtle beach weather","100+","lúc 17:10:00 UTC+7 13 tháng 9, 2024",,"myrtle beach weather","https://trends.google.com.vn/trends/explore?q=myrtle%20beach%20weather&geo=US&hl=vi"
"air canada strike","100+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"air canada strike","https://trends.google.com.vn/trends/explore?q=air%20canada%20strike&geo=US&hl=vi"
"raw story","100+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"raw story","https://trends.google.com.vn/trends/explore?q=raw%20story&geo=US&hl=vi"
"prince","200+","lúc 14:50:00 UTC+7 13 tháng 9, 2024",,"prince","https://trends.google.com.vn/trends/explore?q=prince&geo=US&hl=vi"
"dan levy","200+","lúc 15:00:00 UTC+7 13 tháng 9, 2024","lúc 16:40:00 UTC+7 13 tháng 9, 2024","dan levy,eugene levy","https://trends.google.com.vn/trends/explore?q=dan%20levy&geo=US&hl=vi"
"lil wayne","500+","lúc 14:50:00 UTC+7 13 tháng 9, 2024","lúc 16:00:00 UTC+7 13 tháng 9, 2024","lil wayne","https://trends.google.com.vn/trends/explore?q=lil%20wayne&geo=US&hl=vi"
"习近平","200+","lúc 14:50:00 UTC+7 13 tháng 9, 2024","lúc 17:00:00 UTC+7 13 tháng 9, 2024","习近平","https://trends.google.com.vn/trends/explore?q=%E4%B9%A0%E8%BF%91%E5%B9%B3&geo=US&hl=vi"
"0","100+","lúc 16:40:00 UTC+7 13 tháng 9, 2024","lúc 17:10:00 UTC+7 13 tháng 9, 2024","0","https://trends.google.com.vn/trends/explore?q=0&geo=US&hl=vi"
"brooks","100+","lúc 16:30:00 UTC+7 13 tháng 9, 2024","lúc 17:00:00 UTC+7 13 tháng 9, 2024","brooks","https://trends.google.com.vn/trends/explore?q=brooks&geo=US&hl=vi"
"pick 4","100+","lúc 15:50:00 UTC+7 13 tháng 9, 2024","lúc 16:50:00 UTC+7 13 tháng 9, 2024","pick 4","https://trends.google.com.vn/trends/explore?q=pick%204&geo=US&hl=vi"
"as","100+","lúc 16:30:00 UTC+7 13 tháng 9, 2024","lúc 17:00:00 UTC+7 13 tháng 9, 2024","as","https://trends.google.com.vn/trends/explore?q=as&geo=US&hl=vi"
"china","100+","lúc 16:00:00 UTC+7 13 tháng 9, 2024","lúc 16:40:00 UTC+7 13 tháng 9, 2024","china","https://trends.google.com.vn/trends/explore?q=china&geo=US&hl=vi"
"by","100+","lúc 15:20:00 UTC+7 13 tháng 9, 2024","lúc 16:10:00 UTC+7 13 tháng 9, 2024","by","https://trends.google.com.vn/trends/explore?q=by&geo=US&hl=vi"
"intuit dome","200+","lúc 13:40:00 UTC+7 13 tháng 9, 2024","lúc 15:00:00 UTC+7 13 tháng 9, 2024","intuit dome","https://trends.google.com.vn/trends/explore?q=intuit%20dome&geo=US&hl=vi"
"clear","100+","lúc 16:50:00 UTC+7 13 tháng 9, 2024","lúc 17:10:00 UTC+7 13 tháng 9, 2024","clear,kamala harris polls","https://trends.google.com.vn/trends/explore?q=clear&geo=US&hl=vi"
"prince harry","100+","lúc 15:10:00 UTC+7 13 tháng 9, 2024","lúc 16:00:00 UTC+7 13 tháng 9, 2024","prince harry","https://trends.google.com.vn/trends/explore?q=prince%20harry&geo=US&hl=vi"
"adhd","100+","lúc 15:40:00 UTC+7 13 tháng 9, 2024","lúc 16:20:00 UTC+7 13 tháng 9, 2024","adhd","https://trends.google.com.vn/trends/explore?q=adhd&geo=US&hl=vi"
"seinfeld","200+","lúc 13:30:00 UTC+7 13 tháng 9, 2024","lúc 15:50:00 UTC+7 13 tháng 9, 2024","seinfeld","https://trends.google.com.vn/trends/explore?q=seinfeld&geo=US&hl=vi"
"the wire","100+","lúc 14:30:00 UTC+7 13 tháng 9, 2024","lúc 15:30:00 UTC+7 13 tháng 9, 2024","the wire","https://trends.google.com.vn/trends/explore?q=the%20wire&geo=US&hl=vi"
"everybody hates chris","100+","lúc 14:20:00 UTC+7 13 tháng 9, 2024","lúc 15:30:00 UTC+7 13 tháng 9, 2024","everybody hates chris","https://trends.google.com.vn/trends/explore?q=everybody%20hates%20chris&geo=US&hl=vi"
"jill stein","200+","lúc 13:50:00 UTC+7 13 tháng 9, 2024","lúc 14:20:00 UTC+7 13 tháng 9, 2024","jill stein","https://trends.google.com.vn/trends/explore?q=jill%20stein&geo=US&hl=vi"
"tyler perry","100+","lúc 15:00:00 UTC+7 13 tháng 9, 2024","lúc 15:30:00 UTC+7 13 tháng 9, 2024","tyler perry","https://trends.google.com.vn/trends/explore?q=tyler%20perry&geo=US&hl=vi"
"harry styles","100+","lúc 14:50:00 UTC+7 13 tháng 9, 2024","lúc 15:20:00 UTC+7 13 tháng 9, 2024","harry styles","https://trends.google.com.vn/trends/explore?q=harry%20styles&geo=US&hl=vi"
"aeromexico","100+","lúc 14:20:00 UTC+7 13 tháng 9, 2024","lúc 14:50:00 UTC+7 13 tháng 9, 2024","aeromexico","https://trends.google.com.vn/trends/explore?q=aeromexico&geo=US&hl=vi"
"succession","100+","lúc 13:40:00 UTC+7 13 tháng 9, 2024","lúc 14:00:00 UTC+7 13 tháng 9, 2024","succession","https://trends.google.com.vn/trends/explore?q=succession&geo=US&hl=vi"
